Device,Day,Hour,Type,Sub-Type,Value
PV,9,6,Generated,Electricity,0.0
PV,9,7,Generated,Electricity,0.01
PV,9,8,Generated,Electricity,0.1
PV,9,9,Generated,Electricity,0.31
PV,9,10,Generated,Electricity,0.49
PV,9,11,Generated,Electricity,0.6
PV,9,12,Generated,Electricity,0.63
PV,9,13,Generated,Electricity,0.57
PV,9,14,Generated,Electricity,0.42
PV,9,15,Generated,Electricity,0.22
PV,9,16,Generated,Electricity,0.04
PV,9,17,Generated,Electricity,0.0
PV,9,18,Generated,Electricity,0.0
PV,9,19,Generated,Electricity,0.0
PV,9,20,Generated,Electricity,0.0
PV,9,21,Generated,Electricity,0.0
PV,9,22,Generated,Electricity,0.0
PV,9,23,Generated,Electricity,0.0
PV,10,0,Generated,Electricity,0.0
PV,10,1,Generated,Electricity,0.0
PV,10,2,Generated,Electricity,0.0
PV,10,3,Generated,Electricity,0.0
PV,10,4,Generated,Electricity,0.0
PV,10,5,Generated,Electricity,0.0
PV,10,6,Generated,Electricity,0.0
PV,10,7,Generated,Electricity,0.02
PV,10,8,Generated,Electricity,0.2
PV,10,9,Generated,Electricity,0.46
PV,10,10,Generated,Electricity,0.69
PV,10,11,Generated,Electricity,0.86
PV,10,12,Generated,Electricity,0.93
PV,10,13,Generated,Electricity,0.9
PV,10,14,Generated,Electricity,0.78
PV,10,15,Generated,Electricity,0.58
PV,10,16,Generated,Electricity,0.33
PV,10,17,Generated,Electricity,0.08
PV,10,18,Generated,Electricity,0.0
PV,10,19,Generated,Electricity,0.0
PV,10,20,Generated,Electricity,0.0
PV,10,21,Generated,Electricity,0.0
PV,10,22,Generated,Electricity,0.0
PV,10,23,Generated,Electricity,0.0
PV,11,0,Generated,Electricity,0.0
PV,11,1,Generated,Electricity,0.0
PV,11,2,Generated,Electricity,0.0
PV,11,3,Generated,Electricity,0.0
PV,11,4,Generated,Electricity,0.0
PV,11,5,Generated,Electricity,0.0
PV,11,6,Generated,Electricity,0.0
PV,11,7,Generated,Electricity,0.02
PV,11,8,Generated,Electricity,0.2
PV,11,9,Generated,Electricity,0.46
PV,11,10,Generated,Electricity,0.69
PV,11,11,Generated,Electricity,0.86
PV,11,12,Generated,Electricity,0.93
PV,11,13,Generated,Electricity,0.9
PV,11,14,Generated,Electricity,0.78
PV,11,15,Generated,Electricity,0.58
